episode,reward,steps,td_error,epsilon,success,invalid_actions,wrapper_penalty,wrapper_bonus,blocked_actions,transformed_actions,risky_action_ratio,useful_actions_ratio
181,-1083.0,200,2.722283038842412,0.9134536598864085,0,58,361.0,0.0,11,11,0.345,0.945
182,-1096.5,200,2.949889905192971,0.9129969330564653,0,59,365.5,0.0,6,6,0.325,0.97
183,-948.0,200,2.209944582225556,0.9125404345899372,0,48,316.0,0.0,4,4,0.26,0.98
184,-934.5,200,2.5102662399232183,0.9120841643726423,0,47,311.5,0.0,9,9,0.285,0.955
185,-1056.0,200,2.547171541798999,0.911628122290456,0,56,352.0,0.0,8,8,0.32,0.96
186,-894.0,200,3.254448563996454,0.9111723082293108,0,44,298.0,0.0,6,6,0.265,0.97
187,-1042.5,200,2.773326316352838,0.9107167220751963,0,55,347.5,0.0,10,10,0.325,0.95
188,-1137.0,200,2.3056003593098158,0.9102613637141588,0,62,379.0,0.0,9,9,0.355,0.955
189,-880.5,200,2.868138797295186,0.9098062330323018,0,43,293.5,0.0,5,5,0.265,0.975
190,-907.5,200,2.4623302957376896,0.9093513299157857,0,45,302.5,0.0,8,8,0.265,0.96
191,-541.5,121,2.7222243803541444,0.9088966542508279,1,29,190.5,10.0,3,3,0.281,0.9752
192,-975.0,200,2.657932759563887,0.9084422059237025,0,50,325.0,0.0,10,10,0.3,0.95
193,-1069.5,200,2.2402680973760294,0.9079879848207407,0,57,356.5,0.0,6,6,0.315,0.97
194,-78.0,37,2.7598979152213516,0.9075339908283304,1,4,36.0,10.0,1,1,0.2432,0.973
195,-1002.0,200,2.354609843315702,0.9070802238329163,0,52,334.0,0.0,10,10,0.315,0.95
196,-988.5,200,2.8088815792444257,0.9066266837209999,0,51,329.5,0.0,10,10,0.305,0.95
197,-1029.0,200,2.6226039817214155,0.9061733703791394,0,54,343.0,0.0,8,8,0.31,0.96
198,-934.5,200,2.5938690080408766,0.9057202836939499,0,47,311.5,0.0,4,4,0.255,0.98
199,-1069.5,200,2.4916303847228223,0.9052674235521029,0,57,356.5,0.0,4,4,0.305,0.98
200,-321.0,73,3.780493191838064,0.9048147898403269,1,18,117.0,10.0,1,1,0.2877,0.9863
201,-1042.5,200,2.2869584863318586,0.9043623824454068,0,55,347.5,0.0,6,6,0.305,0.97
202,-1150.5,200,2.885783206413188,0.9039102012541841,0,63,383.5,0.0,8,8,0.355,0.96
203,-1110.0,200,2.7405141539741646,0.9034582461535571,0,60,370.0,0.0,8,8,0.34,0.96
