state_id,energy,oxygen,food,fuel,hull,event,energy_lvl,oxygen_lvl,food_lvl,fuel_lvl,hull_lvl,mhi,crisp_risk,status,greedy_action,greedy_qvalue,appropriate_action
123,critical/low,stable/mid,critical/low,stable/mid,critical/low,Safe Zone,0,1,0,1,0,0.2811,2.1566,WARNING,Life Support,0.0,True
124,critical/low,stable/mid,critical/low,stable/mid,stable/mid,Normal,0,1,0,1,1,0.2811,2.1566,WARNING,Life Support,0.0,True
125,critical/low,stable/mid,critical/low,stable/mid,stable/mid,Solar Storm,0,1,0,1,1,0.2811,2.1566,WARNING,Life Support,0.0,True
126,critical/low,stable/mid,critical/low,stable/mid,stable/mid,Asteroid Impact,0,1,0,1,1,0.2811,2.1566,WARNING,Life Support,0.0,True
127,critical/low,stable/mid,critical/low,stable/mid,stable/mid,Safe Zone,0,1,0,1,1,0.2811,2.1566,WARNING,Life Support,0.0,True
128,critical/low,stable/mid,critical/low,stable/mid,optimal/high,Normal,0,1,0,1,2,0.2811,2.1566,WARNING,Life Support,0.0,True
129,critical/low,stable/mid,critical/low,stable/mid,optimal/high,Solar Storm,0,1,0,1,2,0.2811,2.1566,WARNING,Life Support,0.0,True
130,critical/low,stable/mid,critical/low,stable/mid,optimal/high,Asteroid Impact,0,1,0,1,2,0.2811,2.1566,WARNING,Life Support,0.0,True
131,critical/low,stable/mid,critical/low,stable/mid,optimal/high,Safe Zone,0,1,0,1,2,0.2811,2.1566,WARNING,Life Support,0.0,True
132,critical/low,stable/mid,critical/low,optimal/high,critical/low,Normal,0,1,0,2,0,0.2811,2.1566,WARNING,Life Support,0.0,True
133,critical/low,stable/mid,critical/low,optimal/high,critical/low,Solar Storm,0,1,0,2,0,0.2811,2.1566,WARNING,Life Support,0.0,True
134,critical/low,stable/mid,critical/low,optimal/high,critical/low,Asteroid Impact,0,1,0,2,0,0.2811,2.1566,WARNING,Life Support,0.0,True
135,critical/low,stable/mid,critical/low,optimal/high,critical/low,Safe Zone,0,1,0,2,0,0.2811,2.1566,WARNING,Life Support,0.0,True
136,critical/low,stable/mid,critical/low,optimal/high,stable/mid,Normal,0,1,0,2,1,0.2811,2.1566,WARNING,Life Support,0.0,True
137,critical/low,stable/mid,critical/low,optimal/high,stable/mid,Solar Storm,0,1,0,2,1,0.2811,2.1566,WARNING,Life Support,0.0,True
138,critical/low,stable/mid,critical/low,optimal/high,stable/mid,Asteroid Impact,0,1,0,2,1,0.2811,2.1566,WARNING,Life Support,0.0,True
139,critical/low,stable/mid,critical/low,optimal/high,stable/mid,Safe Zone,0,1,0,2,1,0.2811,2.1566,WARNING,Life Support,0.0,True
140,critical/low,stable/mid,critical/low,optimal/high,optimal/high,Normal,0,1,0,2,2,0.2811,2.1566,WARNING,Life Support,0.0,True
141,critical/low,stable/mid,critical/low,optimal/high,optimal/high,Solar Storm,0,1,0,2,2,0.2811,2.1566,WARNING,Life Support,0.0,True
142,critical/low,stable/mid,critical/low,optimal/high,optimal/high,Asteroid Impact,0,1,0,2,2,0.2811,2.1566,WARNING,Life Support,0.0,True
143,critical/low,stable/mid,critical/low,optimal/high,optimal/high,Safe Zone,0,1,0,2,2,0.2811,2.1566,WARNING,Life Support,0.0,True
144,critical/low,stable/mid,stable/mid,critical/low,critical/low,Normal,0,1,1,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
145,critical/low,stable/mid,stable/mid,critical/low,critical/low,Solar Storm,0,1,1,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
146,critical/low,stable/mid,stable/mid,critical/low,critical/low,Asteroid Impact,0,1,1,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
147,critical/low,stable/mid,stable/mid,critical/low,critical/low,Safe Zone,0,1,1,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
148,critical/low,stable/mid,stable/mid,critical/low,stable/mid,Normal,0,1,1,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
149,critical/low,stable/mid,stable/mid,critical/low,stable/mid,Solar Storm,0,1,1,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
150,critical/low,stable/mid,stable/mid,critical/low,stable/mid,Asteroid Impact,0,1,1,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
151,critical/low,stable/mid,stable/mid,critical/low,stable/mid,Safe Zone,0,1,1,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
152,critical/low,stable/mid,stable/mid,critical/low,optimal/high,Normal,0,1,1,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
153,critical/low,stable/mid,stable/mid,critical/low,optimal/high,Solar Storm,0,1,1,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
154,critical/low,stable/mid,stable/mid,critical/low,optimal/high,Asteroid Impact,0,1,1,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
